Date, Thread, Level, Logger, Message
2024-05-30T13:30:18.460, [http-nio-8080-exec-9], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com Status code: 200"
2024-05-30T13:30:21.575, [ForkJoinPool-1-worker-2], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/ Status code: 200"
2024-05-30T13:30:21.955, [ForkJoinPool-1-worker-4], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://gu-in.facebook.com/ Status code: 200"
2024-05-30T13:30:22.032, [ForkJoinPool-1-worker-6], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/ Status code: 200"
2024-05-30T13:30:22.462, [ForkJoinPool-1-worker-3], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/ Status code: 200"
2024-05-30T13:30:22.776, [ForkJoinPool-1-worker-5], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://mr-in.facebook.com/ Status code: 200"
2024-05-30T13:30:22.831, [ForkJoinPool-1-worker-1], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com# Status code: 200"
2024-05-30T13:30:22.777, [ForkJoinPool-1-worker-7], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ta-in.facebook.com/ Status code: 200"
2024-05-30T13:30:23.478, [ForkJoinPool-1-worker-11], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://en-gb.facebook.com/ Status code: 200"
2024-05-30T13:30:23.561, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/# Status code: 200"
2024-05-30T13:30:23.909, [ForkJoinPool-1-worker-10], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://kn-in.facebook.com/ Status code: 200"
2024-05-30T13:30:23.915, [ForkJoinPool-1-worker-9], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ml-in.facebook.com/ Status code: 200"
2024-05-30T13:30:23.944, [ForkJoinPool-1-worker-8], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/ Status code: 200"
2024-05-30T13:30:24.140, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://hi-in.facebook.com/ Status code: 200"
2024-05-30T13:30:24.633, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/reg/ Status code: 200"
2024-05-30T13:30:25.574, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://messenger.com/ Status code: 200"
2024-05-30T13:30:26.041, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/lite/ Status code: 200"
2024-05-30T13:30:26.393, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/watch/ Status code: 200"
2024-05-30T13:30:26.734, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/places/ Status code: 200"
2024-05-30T13:30:27.387, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/games/ Status code: 200"
2024-05-30T13:30:27.774, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/marketplace/ Status code: 200"
2024-05-30T13:30:28.867, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pay.facebook.com/ Status code: 200"
2024-05-30T13:30:29.488, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://www.meta.com/ Status code: 200"
2024-05-30T13:30:30.019, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://www.meta.com/quest/ Status code: 200"
2024-05-30T13:30:31.205, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://www.meta.ai/ Status code: 200"
2024-05-30T13:30:31.554, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.instagram.com%2F&h=AT32IEgPAYk_K9haytILe8MRrViLX7S-1RfWAhrJBTedoC6diGt4nFbl0GeXvUzkcwTyCREwhvejJ5TwnWM2IOwSDhhTW7I-tTyZ9udCck0E4V3bbdKEyD6myRU3Pzi4lqAVZb42vtWpsD4d Status code: 200"
2024-05-30T13:30:31.925, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://www.threads.net/ Status code: 200"
2024-05-30T13:30:32.845, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/fundraisers/ Status code: 200"
