Date, Thread, Level, Logger, Message
2024-05-30T13:27:44.291, [http-nio-8080-exec-2], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com Status code: 200"
2024-05-30T13:27:45.572, [ForkJoinPool-1-worker-6], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/ Status code: 200"
2024-05-30T13:27:45.607, [ForkJoinPool-1-worker-5], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://mr-in.facebook.com/ Status code: 200"
2024-05-30T13:27:45.655, [ForkJoinPool-1-worker-2], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/ Status code: 200"
2024-05-30T13:27:45.657, [ForkJoinPool-1-worker-3], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/ Status code: 200"
2024-05-30T13:27:45.799, [ForkJoinPool-1-worker-7], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ta-in.facebook.com/ Status code: 200"
2024-05-30T13:27:45.919, [ForkJoinPool-1-worker-4], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://gu-in.facebook.com/ Status code: 200"
2024-05-30T13:27:45.933, [ForkJoinPool-1-worker-11], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://en-gb.facebook.com/ Status code: 200"
2024-05-30T13:27:46.141, [ForkJoinPool-1-worker-1], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com# Status code: 200"
2024-05-30T13:27:46.520, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/reg/ Status code: 200"
2024-05-30T13:27:46.825, [ForkJoinPool-1-worker-10], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://kn-in.facebook.com/ Status code: 200"
2024-05-30T13:27:46.832, [ForkJoinPool-1-worker-9], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ml-in.facebook.com/ Status code: 200"
2024-05-30T13:27:46.870, [ForkJoinPool-1-worker-8], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/ Status code: 200"
2024-05-30T13:27:47.562, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/# Status code: 200"
2024-05-30T13:27:48.349, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://hi-in.facebook.com/ Status code: 200"
2024-05-30T13:27:48.890, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/reg/ Status code: 200"
2024-05-30T13:27:50.825, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://messenger.com/ Status code: 200"
2024-05-30T13:27:51.421, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/lite/ Status code: 200"
2024-05-30T13:27:51.797, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/watch/ Status code: 200"
2024-05-30T13:27:52.266, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/places/ Status code: 200"
2024-05-30T13:27:52.942, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/games/ Status code: 200"
2024-05-30T13:27:53.450, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/marketplace/ Status code: 200"
2024-05-30T13:27:54.683, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pay.facebook.com/ Status code: 200"
2024-05-30T13:27:55.351, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://www.meta.com/ Status code: 200"
2024-05-30T13:27:56.256, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://www.meta.com/quest/ Status code: 200"
2024-05-30T13:27:57.158, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://www.meta.ai/ Status code: 200"
2024-05-30T13:27:57.756, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.instagram.com%2F&h=AT2QRH9OnyHN3PosT6oURMLHgrE1_UyI62nMOjUj9Dz6pn6ISEolUPtf_mTYfPR7MYMU_VMIItuMX0f8gs-CZIXLZ0iZOxEZ2HDgE0HgY5y89f7kI1RxEPclaAuebi4pwXJobZW88RiNL8d3MDnN_hQ8VbdckQ Status code: 200"
2024-05-30T13:27:58.227, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://www.threads.net/ Status code: 200"
2024-05-30T13:27:59.451, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/fundraisers/ Status code: 200"
2024-05-30T13:28:00.202, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/biz/directory/ Status code: 200"
2024-05-30T13:28:00.637, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/votinginformationcenter/?entry_point=c2l0ZQ%3D%3D Status code: 200"
2024-05-30T13:28:01.164, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/groups/discover/ Status code: 200"
2024-05-30T13:28:02.367, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://about.meta.com/ Status code: 200"
2024-05-30T13:28:03.787, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/ad_campaign/landing.php?placement=pflo&campaign_id=402047449186&nav_source=unknown&extra_1=auto Status code: 200"
2024-05-30T13:28:06.712, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://developers.facebook.com/?ref=pf Status code: 200"
2024-05-30T13:28:08.794, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/careers/?ref=pf Status code: 200"
