Date, Thread, Level, Logger, Message
2024-05-30T13:22:10.046, [http-nio-8080-exec-2], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com Status code: 200"
2024-05-30T13:22:10.843, [ForkJoinPool-1-worker-3], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/ Status code: 200"
2024-05-30T13:22:10.846, [ForkJoinPool-1-worker-4], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://gu-in.facebook.com/ Status code: 200"
2024-05-30T13:22:10.907, [ForkJoinPool-1-worker-2], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/ Status code: 200"
2024-05-30T13:22:10.956, [ForkJoinPool-1-worker-7], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ta-in.facebook.com/ Status code: 200"
2024-05-30T13:22:11.015, [ForkJoinPool-1-worker-5], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://mr-in.facebook.com/ Status code: 200"
2024-05-30T13:22:11.016, [ForkJoinPool-1-worker-6], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/ Status code: 200"
2024-05-30T13:22:11.112, [ForkJoinPool-1-worker-10], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://kn-in.facebook.com/ Status code: 200"
2024-05-30T13:22:11.160, [ForkJoinPool-1-worker-9], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ml-in.facebook.com/ Status code: 200"
2024-05-30T13:22:11.168, [ForkJoinPool-1-worker-8], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/ Status code: 200"
2024-05-30T13:22:11.171, [ForkJoinPool-1-worker-11], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://en-gb.facebook.com/ Status code: 200"
2024-05-30T13:22:11.268, [ForkJoinPool-1-worker-1], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com# Status code: 200"
2024-05-30T13:22:11.597, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/reg/ Status code: 200"
2024-05-30T13:22:12.329, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/# Status code: 200"
2024-05-30T13:22:12.925, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://hi-in.facebook.com/ Status code: 200"
2024-05-30T13:22:13.341, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/reg/ Status code: 200"
2024-05-30T13:22:14.375, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://messenger.com/ Status code: 200"
2024-05-30T13:22:14.816, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/lite/ Status code: 200"
2024-05-30T13:22:15.201, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/watch/ Status code: 200"
2024-05-30T13:22:15.604, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/places/ Status code: 200"
2024-05-30T13:22:16.235, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/games/ Status code: 200"
2024-05-30T13:22:16.652, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/marketplace/ Status code: 200"
2024-05-30T13:22:17.867, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pay.facebook.com/ Status code: 200"
2024-05-30T13:22:18.373, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://www.meta.com/ Status code: 200"
2024-05-30T13:22:18.785, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://www.meta.com/quest/ Status code: 200"
2024-05-30T13:22:19.481, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://www.meta.ai/ Status code: 200"
2024-05-30T13:22:19.874, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.instagram.com%2F&h=AT0NrE9iN6ybMAw8j02nN-B0qZHW3Ru8k9u5OdskZbkCUtY7y7OG2GF1_Vtkb43IPh2jAhG8YtN-eQacg2CjinYjlPBR5_Ph7tzxoB86PLJHXyZziSlimsD02juc8Zo167kXoaNq4NqMM5tk Status code: 200"
2024-05-30T13:22:20.341, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://www.threads.net/ Status code: 200"
2024-05-30T13:22:21.748, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/fundraisers/ Status code: 200"
2024-05-30T13:22:22.575, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/biz/directory/ Status code: 200"
2024-05-30T13:22:23.024, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/votinginformationcenter/?entry_point=c2l0ZQ%3D%3D Status code: 200"
2024-05-30T13:22:23.439, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/groups/discover/ Status code: 200"
2024-05-30T13:22:25.718, [MessageBroker-1], INFO , o.s.w.s.c.WebSocketMessageBrokerStats, "WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]"
2024-05-30T13:22:26.230, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://about.meta.com/ Status code: 200"
2024-05-30T13:22:27.584, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/ad_campaign/landing.php?placement=pflo&campaign_id=402047449186&nav_source=unknown&extra_1=auto Status code: 200"
2024-05-30T13:22:29.104, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://developers.facebook.com/?ref=pf Status code: 200"
2024-05-30T13:22:31.504, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/careers/?ref=pf Status code: 200"
2024-05-30T13:22:32.106, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/policies/cookies/ Status code: 200"
